question_text,dim,lvl,question_id
Q1 text?,customer,1,1
Q2 text?,customer,1,2
Q3 text?,customer,1,3
Q4 text?,customer,1,4
Q5 text?,customer,1,5
Q6 text?,customer,2,6
Q7 text?,customer,2,7
Q8 text?,customer,2,8
Q9 text?,customer,2,9
Q10 text?,customer,2,10
Q11 text?,customer,3,11
Q12 text?,customer,3,12
Q13 text?,customer,3,13
Q14 text?,customer,3,14
Q15 text?,customer,3,15
Q16 text?,customer,4,16
Q17 text?,customer,4,17
Q18 text?,customer,4,18
Q19 text?,customer,4,19
Q20 text?,customer,4,20
Q21 text?,content,1,21
Q22 text?,content,1,22
Q23 text?,content,1,23
Q24 text?,content,1,24
Q25 text?,content,1,25
Q26 text?,content,2,26
Q27 text?,content,2,27
Q28 text?,content,2,28
Q29 text?,content,2,29
Q30 text?,content,2,30
Q31 text?,content,3,31
Q32 text?,content,3,32
Q33 text?,content,3,33
Q34 text?,content,3,34
Q35 text?,content,3,35
Q36 text?,content,4,36
Q37 text?,content,4,37
Q38 text?,content,4,38
Q39 text?,content,4,39
Q40 text?,content,4,40
Q41 text?,platform,1,41
Q42 text?,platform,1,42
Q43 text?,platform,1,43
Q44 text?,platform,1,44
Q45 text?,platform,1,45
Q46 text?,platform,2,46
Q47 text?,platform,2,47
Q48 text?,platform,2,48
Q49 text?,platform,2,49
Q50 text?,platform,2,50
Q51 text?,platform,3,51
Q52 text?,platform,3,52
Q53 text?,platform,3,53
Q54 text?,platform,3,54
Q55 text?,platform,3,55
Q56 text?,platform,4,56
Q57 text?,platform,4,57
Q58 text?,platform,4,58
Q59 text?,platform,4,59
Q60 text?,platform,4,60
Q61 text?,ecosystem,1,61
Q62 text?,ecosystem,1,62
Q63 text?,ecosystem,1,63
Q64 text?,ecosystem,1,64
Q65 text?,ecosystem,1,65
Q66 text?,ecosystem,2,66
Q67 text?,ecosystem,2,67
Q68 text?,ecosystem,2,68
Q69 text?,ecosystem,2,69
Q70 text?,ecosystem,2,70
Q71 text?,ecosystem,3,71
Q72 text?,ecosystem,3,72
Q73 text?,ecosystem,3,73
Q74 text?,ecosystem,3,74
Q75 text?,ecosystem,3,75
Q76 text?,ecosystem,4,76
Q77 text?,ecosystem,4,77
Q78 text?,ecosystem,4,78
Q79 text?,ecosystem,4,79
Q80 text?,ecosystem,4,80
Q81 text?,analytics,1,81
Q82 text?,analytics,1,82
Q83 text?,analytics,1,83
Q84 text?,analytics,1,84
Q85 text?,analytics,1,85
Q86 text?,analytics,2,86
Q87 text?,analytics,2,87
Q88 text?,analytics,2,88
Q89 text?,analytics,2,89
Q90 text?,analytics,2,90
Q91 text?,analytics,3,91
Q92 text?,analytics,3,92
Q93 text?,analytics,3,93
Q94 text?,analytics,3,94
Q95 text?,analytics,3,95
Q96 text?,analytics,4,96
Q97 text?,analytics,4,97
Q98 text?,analytics,4,98
Q99 text?,analytics,4,99
Q100 text?,analytics,4,100
Q101 text?,culture,1,101
Q102 text?,culture,1,102
Q103 text?,culture,1,103
Q104 text?,culture,1,104
Q105 text?,culture,1,105
Q106 text?,culture,2,106
Q107 text?,culture,2,107
Q108 text?,culture,2,108
Q109 text?,culture,2,109
Q110 text?,culture,2,110
Q111 text?,culture,3,111
Q112 text?,culture,3,112
Q113 text?,culture,3,113
Q114 text?,culture,3,114
Q115 text?,culture,3,115
Q116 text?,culture,4,116
Q117 text?,culture,4,117
Q118 text?,culture,4,118
Q119 text?,culture,4,119
Q120 text?,culture,4,120
